cluster_2,lat,lng,cluster_3
1,34.71261487310796,126.42454944333645,2
2,36.27807039571557,127.4274863319685,3
3,35.54561307687804,127.54755658630043,4
4,34.488184852808594,126.16136988706796,2
5,35.12757231027261,128.1582580869131,6
6,35.9271797695975,128.5042893489649,7
7,36.985842477217375,127.68637788946148,16
8,34.935851534103534,126.43185056182794,2
9,35.37255742179573,129.2917096410366,10
10,35.390958323158955,127.56990065255862,11
11,34.67929806743967,126.69619668620749,2
12,35.69872270648308,127.78987836201362,13
13,36.000880808497975,129.47018820293098,14
14,37.94125310374685,127.44924441572834,33
15,36.820433442114236,127.61937618859761,16
16,37.702505295058685,126.42244560652176,29
17,35.09561381129227,129.01396416523386,18
18,35.44953939527301,129.24349400822223,19
19,37.525460511557924,129.0423582191889,38
20,35.60558647315796,128.58553281017115,24
21,37.88966629211707,127.16914927503785,22
22,36.86356846576298,127.30880092581174,23
23,35.52517003994626,128.45935465976902,24
24,36.207913820782196,128.06131089912662,25
25,35.9375914074209,129.013583480517,26
26,37.47863774697854,126.95835561880695,27
27,35.381232688742614,128.32861875402952,28
28,37.62891724767407,126.73439317477158,29
29,36.57612913942781,129.03444006948456,30
30,34.884583778910255,128.1946713698718,6
31,35.72442233028446,129.1573184768487,32
32,38.15417768328703,127.33884738260156,33
33,37.41596105686111,126.38155527059524,34
34,35.69192936574435,127.07953602585538,35
35,36.72377303280764,126.95636754410675,36
36,37.42898073652308,126.6985904287409,37
37,37.14385509696501,128.8304900980223,38
38,34.84270435558479,128.6163777204752,39
39,35.330399640872024,128.07469282410656,40
40,35.03335261019231,126.1450678275641,2
41,36.637937088169984,127.48621581592845,16
42,36.787198354333185,128.08412801431132,16
43,37.46593347464659,127.58161890358232,8
44,36.727850868008765,127.82153911417514,16
45,37.222118300338686,127.67539909127827,8
46,34.50993709875,125.33173046875,5
47,37.856869939285716,124.70240561428572,17
48,34.63708597011501,127.05565655685943,12
49,35.6551502105,128.7395947925,21
50,37.331643145178305,127.35810548482839,27
51,36.02268357350268,127.09733175968181,3
52,36.42160876438812,127.79912436743936,25
53,35.98706954651296,129.28920150319746,14
54,36.52621795952816,129.38905012225993,30
55,35.060473620359254,127.62824975866758,11
56,37.06864543631169,127.91894088810696,8
57,37.81451434260625,127.66380107975,15
58,36.20277220275819,126.99524019591398,3
59,37.37800708986226,127.08192040529227,27
60,35.13569209658498,128.5332353771712,28
61,35.326711603745,129.0046092285595,18
62,37.722455327627216,127.97894591827205,15
63,34.94586509105104,126.63391654548126,9
64,34.707847984543584,128.10074717251283,31
65,35.81350184111836,128.60856786287783,7
66,35.25379169676382,128.5374593905047,28
67,35.477729791835664,129.1158594392021,19
68,35.73943503988143,128.74457861396576,21
69,34.05975387942308,126.44929219615386,5
70,37.581446417417204,126.93247353042062,27
71,36.88219840522998,128.6034094457652,30
72,35.778976678188165,128.4802251623671,7
73,37.76856354049599,127.01190938115414,22
74,36.50161859763224,128.72990274096853,30
75,35.356833708389544,126.43867033881874,9
76,37.141178140668984,126.9558682405538,37
77,36.51114523193016,127.08537264118675,36
78,37.640250748026034,127.00595848966523,22
79,34.1121431,127.29848167499999,12
80,33.3908666251764,126.53186230503523,5
81,35.257703613656055,128.28941733066026,28
82,37.73588570787569,128.37079314916565,15
83,35.180481671366124,126.20389493442623,9
84,35.540834522636025,129.29905727865992,19
85,35.15533805853724,126.92429399674889,9
86,37.325668433203376,128.5126356862248,38
87,37.892554592298325,126.89586768798318,22
88,37.745076149715906,127.38790240587119,22
89,38.238749566400806,128.48169048700555,15
90,35.16877617373799,129.0434855501974,18
91,36.9709313642857,126.42365138,34
92,37.297336596428565,126.61571648950891,37
93,35.85231510231137,128.27250906788808,1
94,37.630355842358554,127.32378449406914,22
95,35.08130162135136,128.8372681280098,18
96,36.00604080024407,127.52322134782877,3
97,35.0060718817399,128.0612498025013,6
98,35.70750097148145,128.30088883589306,1
99,37.359491124149386,127.9487054642162,8
100,34.67529488265162,127.60891647416223,31
101,35.268717217029995,127.85088694853319,40
102,34.6824493118595,127.32501802179381,12
103,35.727578998683235,126.5965277689234,35
104,35.9715264108196,128.68305708243744,7
105,35.15637910737632,127.40037877038928,11
106,34.99891223352696,126.86688141600075,9
107,36.98235408703182,128.31300999029327,8
108,37.71357305222009,126.87420423003044,29
109,37.674486281640604,127.70724514574935,15
110,35.54300603064972,127.918943291972,40
111,36.213108558005246,127.63589479800021,3
112,36.787519566475716,129.37254188722898,30
113,37.57446270384615,127.77276596153848,15
114,34.41344861614342,126.75805403795441,12
115,36.83360401085278,128.96348998164285,30
116,35.482574388730534,127.78008491765445,40
117,36.832886525185614,126.690307973504,36
118,35.07808646712411,128.35791195009665,6
119,36.50356804660433,128.2028031031067,25
120,35.312447248287526,129.16938178186163,10
121,38.06592585976743,127.06604206511629,33
122,36.99767646956505,127.066246812928,23
123,35.52126525206765,127.29622625621998,4
124,35.58634495208312,126.50851231249669,35
125,34.909321441872194,128.37582427108572,39
126,36.6437424076559,126.35482561682412,36
127,34.768354585678914,126.0180334011032,2
128,35.809365536009516,126.94242355753975,35
129,37.50661759068545,126.86992255343955,27
130,35.830344758987685,128.7043205397599,7
131,37.46502691509088,127.2226032493224,27
132,36.69529193914577,127.62260512490629,16
133,36.656737850546364,128.50412786441382,30
134,35.89109208647695,127.79146831915904,13
135,37.211308496276054,127.4097797302155,23
136,37.19295520394761,127.15701819699221,23
137,37.661386278560094,127.09133929401601,22
138,35.06614650817105,127.86185857850637,6
139,35.976622330901336,128.108701395041,1
140,35.65564355542189,129.38915885029172,32
141,35.20064377576377,128.75994286119177,18
142,35.1453137130621,126.74538958465456,9
143,35.73864442588362,127.4756068587304,4
144,37.748625579199235,128.77104717779002,38
145,37.57320091501352,127.01252311227321,27
146,37.08971105682447,129.27175549139517,38
147,37.29163653265049,126.95766241195118,37
148,35.37547908292204,128.74204184858107,21
149,35.20457464388074,129.1315604878432,18
150,34.95441266420616,127.0702876433335,11
151,35.7296758695346,128.90042278668682,21
152,35.72565946773808,128.0592703757749,1
153,35.978991098119096,126.79943349408559,35
154,37.97892093453957,127.74931917712397,15
155,35.87427194977757,128.58805096030008,7
156,35.395742758294105,126.58290569020862,9
157,35.509695931941145,128.1410700036338,40
158,37.262815150448716,128.24894575074785,8
159,37.252036110981564,128.91886867540066,38
160,36.31602065368656,128.6702627184846,30
161,35.315114312760585,127.06728718528045,11
162,37.20951746574495,126.73469910079969,37
163,37.16821397695744,128.14394822521274,8
164,37.80210954965608,127.78154632539682,15
165,36.084634704616704,128.32148881948254,7
166,36.136669343361795,127.28218460915663,3
167,36.34853458758392,129.06703726000853,30
168,35.84476122196011,127.23353211656695,4
169,36.68701140490074,128.75892484514105,30
170,35.38139124719517,126.8758345452628,35
171,37.48946419333334,130.89490503125,20
172,35.88472969405508,128.84295952430543,26
173,37.8348439189727,126.73542468283046,29
174,35.357662089353845,128.462407715641,28
175,35.53192422949579,128.81500144744768,21
176,37.38314114382479,126.92027638902879,37
177,37.51592346227379,127.08613255989947,27
178,36.18171811321292,126.65370869964417,36
179,35.26513927271752,127.23537877176287,11
180,36.435614884191914,127.39398237523068,3
181,37.50417408903415,128.11478074427114,8
182,37.50359529003196,126.72957669493668,37
183,36.74122542550498,127.19256203874663,23
184,35.24426915316048,126.53603966886301,9
185,34.83585585720412,127.90450742546321,31
186,35.79301575588242,129.3159946669694,32
187,36.29320624648926,128.43817803548924,25
188,36.098456853624384,128.5381106684163,7
189,34.86987865608229,126.7604662623993,9
190,36.17801310299287,129.32779264292526,14
191,35.579803694085896,129.06000367793385,19
192,35.11247443978451,126.55721638005765,9
193,36.13330960328082,129.1461883722608,14
194,36.07386086655326,128.86368017457386,26
195,36.35518509536606,129.31478876522436,14
196,36.32513082464192,127.18662367885663,3
197,37.02984107641695,127.43012311671248,23
198,36.46709240217288,126.7214353063592,36
199,38.13268755172308,128.04608128212692,15
200,35.56036373897842,126.76466836703723,35
